username,content,likes,retweets,replies
lukebelmar,"One Lucky Gem Hunter will win a McLaren

Are you ready?",5000,392,1100
lukebelmar,Ready?,6100,338,1300
lukebelmar,"Join Gem Hunters for FREE and get a chance to win a Rolex. What a time to be alive!!

See you tomorrow",3700,228,534
lukebelmar,If tomorrow goes well I'll give away a Rolex to one lucky Gem Hunter  Are You Ready?,9000,674,3300
lukebelmar,Everything begins tomorrow,2900,194,182
lukebelmar,Who's ready?,5000,310,673
lukebelmar,Locking in is the only way out.,6700,700,310
lukebelmar,Hate me or Love me I'm still getting paid,3400,201,286
lukebelmar,Memecoin Mania has just begun :),3100,157,325
lukebelmar,Patience young grasshopper,2900,243,252
lukebelmar,God Candle Loading...,4300,272,510
lukebelmar,Crazy sub $20M cap detected,2900,169,438
lukebelmar,"If someone else became a millionaire 

Consider it within your reach too. Keep going.",5000,383,354
lukebelmar,God Bless Bitcoin,3500,219,325
lukebelmar,"Covid was a scam. Any person who has a brain can see that by now.

HOWEVER

The history books will be written by the scammers themselves and future generations will think Covid was real

Just like the Spanish flu & just like World War 2

Most of what you know is a lie. Wake up",6300,723,433
lukebelmar,How much blackmail you think they got on him?,51000,5500,2900
lukebelmar,The countdown has begun. Stay sharp.,3800,174,310
lukebelmar,READY FOR GEM HUNTERS TO OPEN?,3600,183,383
lukebelmar,Gem Hunters. And it's FREE.,1700,77,214
lukebelmar,What's the best upcoming crypto project?,2000,104,1200
lukebelmar,Keep trying. Your time will come.,7100,795,443
lukebelmar,Gem Hunters Opening This Week,2000,74,200
lukebelmar,Should I drop the Gem Hunters sign up link?,5100,335,1100
lukebelmar,Keep rolling the dice,2400,177,206
lukebelmar,Buying 92.1k,3300,101,205
lukebelmar,"""I was once rich in the metaverse... fun times""",3100,112,137
lukebelmar,"Tried launching Gem Hunters but we broke Telegram instead... Oh well  

Let's try again shall we?",6500,304,720
lukebelmar,"Hey 
@durov
 @telegram
 @ton_blockchain
 I run one of the largest communities on your platform. It's impossible to scale and onboard millions of people when the app doesn't work because 10s of thousands want to join within minutes...

Who do I talk to for custom help on this?",4300,324,507
lukebelmar,Gem Hunters sign up broke telegram,4900,326,918
lukebelmar,"People begged me to launch a coin. 

LMAO

I've been offered 10M in stables to put my name on a ticker. Zero fucking chance. 

While celebrities launched coins I secretly built the best free crypto group in the world. 

Tomorrow everything begins. Stay tuned!",9900,456,830
lukebelmar,"Number 1 free crypto group in the world

Watch",4600,145,332
lukebelmar,"After 6 months of building team is assembled 

Gem Hunters Crypto Group opens TOMORROW 

FREE ACCESS. Limited Spots.",7000,332,706
lukebelmar,Bull Run,5200,596,240
lukebelmar,Sell all your ETH and buy DOGE,5600,376,642
lukebelmar,It's better to try and fail than to have never tried at all.,5500,734,315
lukebelmar,The only token with zero haters $PENGU,2100,164,176
lukebelmar,Trump becomes a multi chain coin. Watch,3400,184,185
lukebelmar,Trump has been a meme for 30yrs. You fail to realize the mindshare this man commands,1700,65,71
lukebelmar,The memecoin cabal,3000,150,122
lukebelmar,Today Trump becomes the most powerful man in the world... and he has a memecoin,4500,275,163
lukebelmar,"You think Trump is gonna let his wife's coin fail? His networth alone is bigger than the whole marketcap of .$MELANIA. 

Bidding more",3700,232,256
