username,content,likes,retweets,replies
rajgokal,"organizing breakpoint might be one of the most thankless jobs in crypto.

kudos to these fine folks, I do not envy them. remember to buy them a beer in singapore, they really deserve it.",243,5,25
rajgokal,I'm obsessed with obsessed people.,322,19,83
rajgokal,did you do it?,193,6,62
rajgokal,this design video goes hard,107,39,179
rajgokal,a random list of non-memecoin use cases on solana,113,16,15
rajgokal,mother land activated,559,41,119
rajgokal,"ready or not, Solana India is happening.",376,85,35
rajgokal,"how to navigate crypto psyops:

if you hear a resounding message, unified from all angles, all at once, ignore / countertrade it.

if you come back to a message occasionally, but consistently, multiple cycles, growing in frequency / intensity, you should bet everything on it.",165,9,24
rajgokal,"introducing friend. not imaginary.

order now at http://friend.com",12000,10000,3900
rajgokal,"truly an og solana community in Ukraine, so happy to see how its grown. 
@DanPaul000
 had nothing but great stories from this trip!",57,6,2
rajgokal,wow,221,18,11
rajgokal,"JUST IN: 
@PayPal
's $PYUSD stablecoin supply on Solana has reached $239 million in less than two months since its launch.",636,77,20
rajgokal,based,66,9,33
rajgokal,"blinks ‘n’ bots.

group chats with transaction request generation and signing for social actions.

send me a working demo and your life could literally change forever.",242,40,29
rajgokal,"white boarding session with 
@nkumar23
 and 
@jnwng
 today.

this diagram makes no sense, but just know that 
@solana
 is really well positioned to completely change the way we buy things online.

new shopping concept coming next week that might blow some minds.",35,4,7
rajgokal,>2x bodyweight deadlift confirmed. good week.,1500,144,214
rajgokal,"BREAKING: 
@Solana
 now accounts for over 30% of the total DEX volume across all blockchains.

(a 15x increase from its 2% share a year ago)",838,176,44
rajgokal,"I’ve been trying to add some new follows the last few months, especially builders, I realised earlier in the year I was stuck in a DeFi boomer bubble. It’s been really positive for my tl and my perspective. I’ve never been more bullish.",216,8,48
rajgokal,breakpoint programming is gonna blow minds,443,39,70
rajgokal,"dear competitor: when you try to hire my best people, especially after we open up to you in pursuit of common interests, I always know about it, and I take note.

I have a very long memory for these things.

have fun!",1000,52,96
rajgokal,incredible comms work,20,1,2
rajgokal,fun fact: breakpoint originally was close to being called “helios”. really happy we didn’t go that direction.,93,3,9
rajgokal,"0/ Today, Multicoin Capital is proud to announce a special contribution to match all donations of SOL tokens to the Sentinel Action Fund (
@sentinelaction
) up to $1M for SOL donations made over the next 10 days.

Let’s talk about the who, what, why and how.",469,95,44
rajgokal,epic disruption,51,4,21
rajgokal,"The best function of building on a vibrant L1 is the capacity to compose. 

The fact that a project can focus on what they're best at and compose with other projects who are leaders at what they do is criminally underrated. 

This week alone - 
@DriftProtocol
 listed",56,8,13
rajgokal,the top 25 L2's welcoming another L2,219,18,104
rajgokal,sign up! let's get cards made of solid gold.,38,2,28
rajgokal,"Alright 
@vladtenev
 I’m doing the thing!!

At least 10 people have got to sign up here and help me get this solid gold card.",65,12,14
rajgokal,accelerate,28,1,14
rajgokal,"We have come a long way since launching on 
@solana
 three years ago.

Today we are proud to announce Blockasset is now an Official Partner of the 
@UFC
.

We will be stepping into the Octagon alongside the sport's biggest names.",1000,716,239
rajgokal,the user is never wrong,304,41,91
rajgokal,"design everydays  
@solana
official design concepts weekly. for the rest of the summer.",105,9,16
